string	english (円,원,$,£,€,zł)	comment. Include all currency characters here to get them included in used_chars.txt, because they're retrieved automatically from the 3DS eShop.

# ----- Generic ----
next	Далi
done	Готово
back	Назад
yes	Так
no	Нi
ok	OK
skip	Пропустити
skip_confirm	Пiдтвердiть пропуск
yay	Ура!
continue	Продовжити
options_yes_thanks	Хочу все знати!
options_no_thanks	Я i так все знаю.
options_no_advanced	Нi {format bold}(для досвiдчених гравцiв) 
options_explain	Пояснити?

press_up_to_talk	Поговорити
press_up_to_sell	Продати
press_up_to_use	Використати
press_up_to_use_door	Увiйти в дверi
press_up_to_use_ladder	Пiднятись по драбинi
press_up_to_use_workbench	Працювати в майстернi
press_up_to_light	Освiтити
press_up_to_read	Читати
press_up_to_el_machino	Увiйти в Ель Макiно
press_up_to_archaea	Увiйти в шахту Архея

upgrade_cog	{image cogs_down} Шестерiнка
gain_xp	{format exp_text}%1% досвiду{format reset}
gain_gold	{format gold_text}$%1%{format reset}{image money_small_down}
pickup_resource	{image %1%} %2% $%3%{image money_small_down}
need_light	Потрiбне свiтло...
need_water	Потрiбна вода...
view_inventory	Подивитися ресурси

unassigned	НЕ ПРИЗНАЧЕНО

notification_saving	Збереження...
notification_saving_failed	{color 1,0,0,1}Не вдалося зберегти гру!
notification_saving_settings	Збереження налаштувань...
notification_saving_settings_failed	{color 1,0,0,1}Не вдалося зберегти налаштування!

difficulty_easy	Легко 
difficulty_normal	Середньо 

# ----- Ask Choice ----
carson_buy	Одну {image cogs_small} шестерiнку, будь ласка!
carson_dontbuy	Не зараз.

blueprint_buy	Беру!
blueprint_dontbuy	Можливо пiзнiше...

workbench_choice_upgrades	Покращення {image money_small}
workbench_choice_cogs	Шестерiнки {image cogs_small}
workbench_choice_tutorial	Розкажи про шестерiнки...
workbench_choice_cancel	Скасувати

options_markers_yes	Мабуть, менi це потрiбно.
options_markers_no	Менi це не знадобиться {format bold}(для досвiдчених гравцiв)
options_markers_explain	Як воно працюэ?


carson_ask_yes	Давай я розповiм...
carson_ask_yes2	Давай...
carson_ask_no	Якось потiм.

rocketeer_ask_yes	Чому так?
rocketeer_ask_no	Краще спускайся назад!

distillery_ask_yes	Здаэться, нам доведеться, Фен.
distillery_ask_no	Поки нi.

teleport_ask_yes	Менi доведеться, Фен.
teleport_ask_no	Зачекай секунду...

# ------ Levels -------
level_west_desert	Захiдна пустеля
level_east_desert	Вiтрянi рiвнини
level_el_machino	Ель Макiно
level_archaea	Архея
level_yarrow	Ярроу
level_fire_temple	Храм Руйнiвника
level_temple_of_guidance	Храм Шляху
level_hub	Оазис
level_hubtube	Труба каналiзацiï
level_distillery	Реактор
level_vectron	Вектрон
level_hell	Випробування

# ------ Caves -------
level_archaea_cave_pressurebomb	Вибухова станцiя
level_archaea_cave_jackhammer	Каменеломна станцiя
level_hub_cave_grapplinghook	Склад Розi
level_temple_cave_hookjump	Спелеостанцiя
level_fire_temple_cave_flamer	Станцiя внутрiшнього згоряння

level_fire_temple_cave_treasure_chamber	Скарбниця Рональда

level_archaea_cave_unclimbable	Стiни з латками

level_archaea_cave_runjump	Розгiн - стрибок
level_archaea_cave_fallblock_puzzle	Кiмната з годинниковим механiзмом
level_archaea_cave_ladders	Сходи Генезису
level_archaea_cave_runfallblock	Крiзь лад камiнчикiв
level_archaea_cave_snakestone	Грот трiщин
level_archaea_cave_snakestone_blocks	Пiдземнi розвалини
level_archaea_cave_trilobite_puzzle	Трилобiтове урвище
level_archaea_cave_cactus	Колюча панорама
level_archaea_cave_sinkstone_stickybomb	Цокаюча безодня
level_archaea_cave_vectron_entrance	Таэмнича печера

level_fire_temple_cave_crusher	Смажене безумство
level_fire_temple_cave_lavachase	Колиска демона
level_fire_temple_cave_batcave	Мишача печера
level_fire_temple_cave_armor	Сонячний арсенал

level_fire_temple_cave_spikeconveyor	Шипи та конвеэри
level_fire_temple_cave_lava_shooters	Стрiльба лавою
level_fire_temple_cave_hell_carts	Шахтне безумство
level_fire_temple_cave_generator	Машина Судного дня
level_fire_temple_cave_generator2	Руйнiвна машина
level_fire_temple_cave_golem	Похмура лощина
level_fire_temple_floor_is_lava	Пiдлога - це лава
level_fire_temple_cave_boxes	Лиховiсний вантаж


level_yarrow_cave_water	Пливи, греби, гойдайся
level_yarrow_cave_gauntlet	Лiгво з протiканням
level_yarrow_cave_steampack_slayer	Станцiя Аеронавтiв
level_yarrow_cave_generator	Машина лих
level_yarrow_cave_cliffhanger	Эралаш на пiдвiсi
level_yarrow_cave_mushimushiroom	Грибне мiсце
level_yarrow_cave_bats	Вулик у засiдцi
level_yarrow_cave_run	Лаймова петля
level_yarrow_cave_snakestone	Хiд у грот трiщин

level_west_desert_cave_cart_puzzle	Ох вже цi вiзки

level_east_desert_cave_runfallblock	Камнепад
level_east_desert_cave_hell_end	Кiнець випробувань
level_east_desert_cave_hell_crushers	Випробування руйнiвникiв
level_east_desert_cave_hell_acoknights	Випробування лицарiв-сектантiв
level_east_desert_cave_hell_vectron	Випробування втечi
level_east_desert_cave_hell_rockets	Випробування ракет
level_east_desert_cave_hell_bedrock	Випробування кнопок
level_east_desert_cave_hell_skillness	Випробування вправностi
east_desert_cave_hell_lava_flight	Випробування польоту

level_temple_cave_arrowtraps	Склеп стрiл
level_temple_cave_pushthecarts	Склеп колiс
level_temple_cave_fallblock_mega	Склеп руйнування
level_temple_cave_maze	Склеп таэмниць
level_temple_cave_generator	Машина спустошення

level_hub_cave_hubtube	Грязевий вигин

level_vectron_cave_generator	Генератор Вектрона

# ------ Talk UI ------
talk_continue_prompt	Продовжити
talk_confirm_prompt	Пiдтвердити
talk_cancel_prompt	Скасувати

# ------ Tutorial indicators ------
indicator_move	Йти на схiд
indicator_move_02	Нi, в iншу сторону
indicator_wall_jump	Стрибок по стiнi
indicator_jump	Стрибнути
indicator_attack	Копати
indicator_attack_down	Пiдкопувати
indicator_run	(Утримувати) Бiгти
indicator_talk_to_buddy	Поговорити з Фен
indicator_run_jump	стрибок пiд час пробiжки
indicator_pressurebomb	Кинути пневмобомбу
indicator_direction_pressurebomb	Кинути пневмобомбу
