# NOTE: Do not hand edit this file! It is managed by Conversation Editor.
#       This is the conversation language file for English (United States).

# buddy_inventory_full
conversation_yjp8nk_text	Гей, у тебе {format highlight}мiшок уже повний{format reset}, диваче.

# ore_vendor
conversation_hxfr0f_text	Гей, подiлишся зi мною чим-небудь блискучим?
conversation_jh3i2m_text	Ну що, хочеш помiняти камiнцi на тугрики?
conversation_69vpc2_text	Э щось цiнне на обмiн?
conversation_mi3myw_text	То вперед! Займемося справжньою справою, га?
conversation_2l670i_text	Ну що, э щось цього разу?
conversation_89hare_text	Давай, покажи, що знайшла.
conversation_dfflv5_text	Але поки що я готовий забирати у тебе руду. Э що?
conversation_dvsj68_text	Знаэш, мер Йонкер - дубина рiдкiсна, але тут вiн маэ рацiю. Нам потрiбен потiк руди!
conversation_gk3axq_text	Кажуть, вiн так замучився через руду, що аж волосся iржавiти почало.
conversation_mosq62_text	Що до мене, я завжди радий будь-якiй рудi вiд будь-якого шахтаря при будь-яких обставинах!
conversation_fnygz1_text	Немаэ нiчого важливiшого, нiж пiдтримувати потiк руди, дитинко.
conversation_7dsj17_text	Все мiсто гуде, що у нас э новий бот-шахтар.
conversation_mh0ja0_text	Я тут взагалi-то шукаю декого. Такий скромний, у червоному шарфику.
conversation_y6ys6p_text	Знаю такого. Виглядав на всi сто, а на дiлi - нiчого особливого!
conversation_0lzsu6_text	Назад так i не повернувся, розумiэш?
conversation_bhqgnn_text	Сподiваюся, ти впораэшся з цим трохи краще, дитинко.
conversation_21a760_text	А... Ти ж уже чула про забитi пневмошахти?
conversation_oxkxen_text	Я не з балакучих, але кажуть, мер закрив ïх, щоб братам своïм помститися.
conversation_2zloko_text	До речi, давненько я ïх не бачив.
conversation_xwxxg4_text	Я думав, вони почнуть ворушитися, якщо вже ти склала ïм конкуренцiю.
conversation_gmenrv_text	У вряди-годи понадiявся на цих ледарiв.
conversation_xkngbf_text	Так чи iнакше, доки шахти закритi, я втрачаю грошi, розумiэш?
conversation_xfxkz8_text	Пiд цiэю цегляною кладкою незлiченнi скарби.
conversation_op5xlx_text	Якщо натрапиш на бомжiв, чикни ïх перш, нiж сама одягнеш дерев'яний макiнтош.
conversation_whma58_text	Кажуть, вони там всi пiд бузою i шукають металобрухт, ясно?
conversation_t5mwlu_text	Ïм цiэï отрути завжди мало. Ця штука робить ïх сильнiшими, але одночасно зриваэ з котушок.
conversation_649tjr_text	А ще вiд неï страшна корозiя, тому не торкайся до неï.
conversation_03e7vh_text	Не знаю, чула ти чи нi, але професорка зовсiм з глузду з'ïхала.
conversation_u2ersk_text	З'ïхала з глузду, коли ïï будинок перевернуло першим землетрусом, ясно?
conversation_h9iaiy_text	Тепер вона {format emph}будуэ ракету{format reset} i готова спустити на це весь свiй спадок.
conversation_3jgp0a_text	Чув, вона навiть у товариство ракетникiв вступила.
conversation_9mc50k_text	Вони цi штуки по всьому свiту будують.
conversation_bsxzro_text	Чуэш, у тебе знайдеться час по дорозi обшукати печери, га, дитинко?
conversation_dz2y8u_text	Вони, звiсно, крутiшi шахт, там не розслабишся.
conversation_3g80ch_text	Але натомiсть бiльше шансiв знайти щось цiнне, вловлюэш?
conversation_nmjdda_text	Як тiльки в печерi знайдеться щось, воно тут же буде вiдзначено {image cave_small} на мапi. Тому немаэ потреби копати навмання.
conversation_u3ck3c_text	Хто мiг подумати, що у цих божевiльних фанатикiв пiд ïх розвалюхою стiльки скарбiв!
conversation_zh09qm_text	Треба було три роки тому розкопки почати!
conversation_g3jyqr_text	Ну так, я чув, що в руïнах живе божевiльна секта шанувальникiв кiнця свiту.
conversation_m4g0mn_text	Це ïхня справа, я туди не суюсь, ясно?
conversation_figdnq_text	Ти подивися на це мiсто. Я сюди молодиком приïхав. Набридло пахати в доках.
conversation_saxa80_text	Мiстечко було куди менше, але от потенцiалу було - ого-го!
conversation_c0haij_text	Я тут побудував чудовий бiзнес, залишалося знайти того, у кого шестерня не тонка.
conversation_3qiyya_text	Потрiбно спускатися в нерозвiданi глибини цього свiту, дитинко.
conversation_281tok_text	Це ризиковано, натомiсть i нагорода коштуэ того.
conversation_ef7tr2_text	Чув про якiсь дивнi джунглi прямо в шахтах.
conversation_amxf2l_text	Ну, тебе-то вони не зупинять.
conversation_mp7r9y_text	Просто боюся, що iншi скиглiï злякаються, ясно?
conversation_fmy8mc_text	Кажуть, ракета професорки готова до запуску.
conversation_mxjgvx_text	Я думав, у неï шурупи в головi заiржавiли, а тепер бачу, що вона справу задумала, ясно?
conversation_gd4ef6_text	Космос зовсiм не вивчений, там повно можливостей для бiзнесу.
conversation_wr4wq2_text	Я i ранiше будував бiзнес з нуля, дитинко.
conversation_mkud7m_text	А нинi у мене бiльше досвiду, нiж у молодостi.
conversation_08cc91_text	Як буде руда на продаж - вiдразу приходь, ясно?

# inhabitant_01
conversation_07qv1j_text	Мiй нiкчемний синок поняття не маэ, що робить.
conversation_vx6mcl_text	Нам потрiбнi досвiдченi дослiдники, щоб спуститися пiд землю i знайти причину цих землетрусiв!
conversation_hlqiyo_text	Я знаю, на що схоже змiщення тектонiчноï плити. Побий мене грiм, дитинко, тут щось iнше!
conversation_q4ltpg_text	Нам потрiбен хтось iз мiзками та ентузiазмом. Хтось, хто готовий спуститися в цю шахту.
conversation_8w93yl_text	Я працюю в шахтах скiльки себе пам'ятаю, дитинко... Але таких землетрусiв не бачила.
conversation_ibhbb2_text	Я б i сама злазила подивитися, але подивися на мене... Я вже не шахтар.
conversation_ffq3ty_text	Що з вами сталося?
conversation_9hmzci_text	Ох! Це був нещасний випадок в шахтi?
conversation_uy4syk_text	Якби! Витратила купу деталей на моïх синкiв-недоумкiв. Головна моя помилка в життi...
conversation_g3ij4k_text	{format singsong}Ну-у-удьга!{format reset}
conversation_xxgpup_text	Якби я могла, я б мухою зганяла в цi тунелi!
conversation_dgq9o3_text	Якщо хочеш спуститися нижче, тобi потрiбно {format highlight}полагодити лiхтар{format reset}.
conversation_o8vje6_text	А що, в шахтi й справдi так небезпечно?
conversation_0c28a8_text	Ну, там повзаэ всiляка звiрина, але проте я бомжiв давно не бачила.
conversation_tt1za6_text	Моï старшенькi ремонтували стiни, щоб цi двоногi не лiзли.
conversation_n71xfs_text	Пiд час бомжацьких воэн я була зовсiм юною, але жахiття пам'ятаю до цих пiр.
conversation_u3tho1_text	Але внизу варто бути до всього готовою, дитинко.
conversation_8xtyi1_text	Iди в {format highlight}майстерню{format reset} бiля шахти та полагодь лiхтар. Зрозумiло, якщо можеш собi дозволити деталi...
conversation_y2vq9y_text	Побий мене грiм! Тепер ти й справдi готова {format highlight}спуститися в шахту{format reset}, дитинко.
conversation_st3zju_text	Хтось бував останнiм часом у Червонокаменному штреку?
conversation_0zamqc_text	З тих пiр як перестали працювати пневмолiфти, нiхто.
conversation_5atg04_text	Якщо хочеш дослiдити всю шахту, доведеться йти цим шляхом.
conversation_caroq1_text	Спробую спочатку {format highlight}розчистити пневмошахту{format reset}.
conversation_kq5k2e_text	Тiльки врахуй, що там порода чим глибше, тим твердiше. Тобi потрiбнi будуть пристойнi iнструменти.
conversation_yo8vom_text	Забратися глибше в шахту можна тiльки через Червонокаменний штрек. Принаймнi доки пневмолiфти не працюють.
conversation_sxlsip_text	Сподiваюся вибухiвка менi допоможе пробитися в Червонокаменний штрек.
conversation_2e9pz1_text	Повинно спрацювати. Я сама так робила, i не раз.
conversation_wkl33e_text	Вирушай на Вибухову станцiю i {format highlight}отримай вибухiвку{format reset}.
conversation_xtf9h2_text	Ну хiба не гарно, що штрек на мiсцi i не завалений? Не думаю, що ми застрахованi вiд вибуху.
conversation_5jzc1m_text	Доки пневмолiфти не працюють, вглиб шахти можна потрапити тiльки через Червонокаменний штрек.
conversation_3vmqnk_text	Сподiваюся, ти там справляэшся, дитинко.
conversation_u6rmdw_text	Через професора Шерман я занепокоïлася щодо цих землетрусiв, ржа ïх з'ïж.
conversation_nxlgy6_text	Вона витрачаэ всi грошi на свою ракету.
conversation_ginz3u_text	Вона розумна. Думаю, вона плануэ евакуацiю.
conversation_jkfreb_text	Сподiваюся, моэму iржавомозглому синку вистачить шурупiв вислухати ïï.
conversation_3pntbk_text	Так! А ти чудовий шахтар, га?
conversation_ebwh66_text	Повертайся в Червонокаменний i розгреби цей завал.
conversation_dayt2l_text	Один правильний заряд - i Червонокаменний вiдкрито!
conversation_5ji97r_text	Так, не беручи до уваги каверн, вiн до бiса мiцний.
conversation_m6zdrd_text	Радий, що вiн ще цiлий.
conversation_k7klvq_text	Щоб розкопувати бруд на такiй глибинi, тобi потрiбно подбати про iнструменти.
conversation_dspvhm_text	I, так! Не забувай приносити нам новi дорогоцiннi каменi!
conversation_sl7olj_text	Витрать частину грошей на полiпшення iнструментiв. На глибинi витрати окупляться.
conversation_x0wxp1_text	Менi потрiбно потрапити на Каменеломну станцiю.
conversation_63gsgh_text	Внизу маса проломiв i проходiв, повiр!
conversation_qp9quj_text	У моïх братiв талант знаходити ïх... I блукати там тижнями.
conversation_x7yuib_text	Кажуть, цi мясоголовi бомжi прориваються крiзь стiну та влаштовують тут бедлам.
conversation_hc3b2x_text	Сходи на розвiдку до бомжацьких стiн. Ти напевно {format highlight}знайдеш станцiю{format reset}, дитинко.
conversation_gducoe_text	Ну як, дитинко, бачила бомжiв? Давненько вони до нас не навiдувалися.
conversation_yr3kie_text	Я помiтила, що з-пiд Тамблтона, мого рiдного мiста, вони теж зникли.
conversation_owuynx_text	Тобто, це масове явище? Я ïх не зустрiчала вже кiлька мiсяцiв як мiнiмум.
conversation_3h8ujv_text	Вони почали пропадати з тих пiр, як Растi знищив Вектрона.
conversation_ezzezr_text	Про це я мало знаю, але вже з бомжами-то знайома.
conversation_dpbib8_text	Вони вiчно пробиралися крiзь стiну та плуталися у шахтарiв пiд ногами.
